iter	Passed	Remaining
603	18119	11879
604	18145	11847
605	18168	11812
606	18192	11778
607	18216	11744
608	18240	11711
609	18264	11677
610	18296	11648
611	18331	11621
612	18359	11590
613	18382	11556
614	18410	11525
615	18433	11490
616	18464	11461
617	18491	11429
618	18522	11400
619	18553	11371
620	18580	11339
621	18606	11307
622	18633	11275
623	18660	11244
624	18690	11214
625	18716	11182
626	18744	11151
627	18771	11119
628	18797	11087
629	18827	11057
630	18855	11026
631	18884	10995
632	18912	10965
633	18942	10935
634	18968	10903
635	18996	10872
636	19027	10843
637	19055	10811
638	19086	10783
639	19113	10751
640	19146	10723
641	19177	10693
642	19206	10663
643	19238	10634
644	19266	10604
645	19295	10573
646	19327	10544
647	19365	10519
648	19394	10489
649	19422	10458
650	19452	10428
651	19480	10397
652	19505	10365
653	19530	10332
654	19557	10301
655	19587	10271
656	19614	10240
657	19644	10210
658	19673	10180
659	19701	10149
660	19729	10118
661	19755	10086
662	19782	10055
663	19806	10022
664	19835	9992
665	19860	9959
666	19891	9930
667	19918	9899
668	19944	9867
669	19972	9837
670	19999	9806
671	20024	9773
672	20050	9742
673	20075	9710
674	20103	9679
675	20130	9648
676	20154	9616
677	20179	9583
678	20205	9552
679	20230	9520
680	20256	9488
681	20294	9462
682	20330	9435
683	20358	9405
684	20389	9376
685	20424	9348
686	20454	9319
687	20482	9288
688	20515	9260
689	20549	9232
690	20577	9201
691	20605	9171
692	20637	9142
693	20664	9111
694	20689	9079
695	20751	9063
696	20771	9030
697	20803	9000
698	20828	8968
699	20859	8939
700	20889	8910
701	20919	8880
702	20951	8851
703	20976	8819
704	21005	8789
705	21034	8759
706	21062	8728
707	21085	8696
708	21118	8667
709	21147	8637
710	21180	8609
711	21274	8605
712	21305	8575
713	21337	8547
714	21385	8524
715	21423	8497
716	21460	8470
717	21489	8440
718	21513	8407
719	21537	8375
720	21559	8342
721	21594	8314
722	21628	8286
723	21658	8256
724	21707	8233
725	21741	8205
726	21781	8179
727	21820	8152
728	21848	8121
729	21873	8090
730	21895	8057
731	21921	8025
732	21953	7996
733	21976	7964
734	22000	7932
735	22023	7899
736	22048	7867
737	22074	7836
738	22105	7807
739	22129	7775
740	22151	7742
741	22174	7710
742	22199	7678
743	22220	7645
744	22244	7613
745	22267	7581
746	22288	7548
747	22309	7515
748	22331	7483
749	22352	7450
750	22374	7418
751	22400	7387
752	22421	7354
753	22453	7325
754	22478	7294
755	22502	7262
756	22525	7230
757	22547	7198
758	22571	7166
759	22596	7135
760	22624	7105
761	22651	7074
762	22674	7043
763	22704	7013
764	22728	6981
765	22756	6951
766	22783	6921
767	22806	6889
768	22832	6858
769	22858	6827
770	22880	6795
771	22905	6764
772	22929	6733
773	22954	6702
774	22976	6670
775	22999	6639
776	23024	6607
777	23048	6576
778	23071	6545
779	23104	6516
780	23140	6488
781	23164	6457
782	23185	6425
783	23207	6393
784	23229	6362
785	23250	6330
786	23270	6298
787	23290	6265
788	23310	6233
789	23331	6201
790	23353	6170
791	23373	6138
792	23403	6108
793	23434	6080
794	23458	6049
795	23477	6016
796	23497	5984
797	23517	5952
798	23537	5921
799	23556	5889
800	23577	5857
801	23600	5826
802	23621	5794
803	23643	5763
804	23666	5732
805	23687	5701
806	23710	5670
807	23730	5639
808	23751	5607
809	23774	5576
810	23794	5545
811	23813	5513
812	23832	5481
813	23855	5451
814	23875	5419
815	23898	5388
816	23918	5357
817	23942	5327
818	23962	5295
819	23981	5264
820	24003	5233
821	24022	5201
822	24041	5170
823	24062	5139
824	24081	5108
825	24102	5077
826	24124	5046
827	24144	5015
828	24164	4984
829	24185	4953
830	24207	4923
831	24226	4891
832	24251	4861
833	24273	4831
834	24293	4800
835	24320	4771
836	24343	4740
837	24367	4710
838	24386	4679
839	24406	4648
840	24424	4617
841	24447	4587
842	24469	4557
843	24489	4526
844	24510	4496
845	24531	4465
846	24550	4434
847	24570	4404
848	24591	4373
849	24611	4343
850	24629	4312
851	24650	4282
852	24669	4251
853	24693	4221
854	24715	4191
855	24736	4161
856	24754	4130
857	24773	4100
858	24792	4069
859	24812	4039
860	24833	4009
861	24853	3978
862	24871	3948
863	24892	3918
864	24913	3888
865	24936	3858
866	24956	3828
867	24975	3798
868	24996	3768
869	25014	3737
870	25036	3708
871	25056	3677
872	25075	3647
873	25097	3618
874	25116	3588
875	25136	3558
876	25156	3528
877	25175	3498
878	25197	3468
879	25219	3439
880	25246	3410
881	25274	3381
882	25297	3351
883	25318	3322
884	25341	3292
885	25360	3263
886	25379	3233
887	25403	3204
888	25423	3174
889	25447	3145
890	25466	3115
891	25488	3086
892	25507	3056
893	25527	3026
894	25546	2997
895	25566	2967
896	25588	2938
897	25607	2908
898	25628	2879
899	25649	2849
900	25669	2820
901	25692	2791
902	25712	2761
903	25731	2732
904	25750	2703
905	25770	2673
906	25791	2644
907	25809	2615
908	25830	2585
909	25849	2556
910	25870	2527
911	25888	2498
912	25907	2468
913	25927	2439
914	25951	2410
915	25973	2381
916	25991	2352
917	26010	2323
918	26031	2294
919	26050	2265
920	26069	2236
921	26089	2207
922	26108	2178
923	26127	2149
924	26151	2120
925	26174	2091
926	26195	2062
927	26213	2033
928	26235	2005
929	26257	1976
930	26284	1948
931	26310	1919
932	26332	1891
933	26355	1862
934	26373	1833
935	26395	1804
936	26415	1776
937	26445	1747
938	26465	1719
939	26484	1690
940	26507	1661
941	26528	1633
942	26547	1604
943	26568	1576
944	26588	1547
945	26606	1518
946	26628	1490
947	26648	1461
948	26668	1433
949	26693	1404
950	26713	1376
951	26733	1347
952	26753	1319
953	26773	1290
954	26793	1262
955	26815	1234
956	26836	1205
957	26855	1177
958	26875	1148
959	26899	1120
960	26919	1092
961	26942	1064
962	26962	1035
963	26982	1007
964	27003	979
965	27022	951
966	27041	922
967	27059	894
968	27079	866
969	27102	838
970	27121	810
971	27141	781
972	27161	753
973	27185	725
974	27205	697
975	27226	669
976	27249	641
977	27273	613
978	27295	585
979	27315	557
980	27334	529
981	27401	502
982	27443	474
983	27501	447
984	27520	419
985	27539	391
986	27563	363
987	27582	335
988	27603	307
989	27622	279
990	27641	251
991	27661	223
992	27686	195
993	27705	167
994	27724	139
995	27744	111
996	27763	83
997	27782	55
998	27801	27
999	27820	0
