iter	Accuracy	MultiClass
160	0.9509589041	0.2233121514
161	0.9508219178	0.2226410266
162	0.9509589041	0.2216883451
163	0.9508219178	0.2208785882
164	0.9506849315	0.2199773455
165	0.9510958904	0.2191717744
166	0.9517808219	0.2181082098
167	0.9524657534	0.2171629474
168	0.9516438356	0.2160921502
169	0.9521917808	0.2153621627
170	0.9523287671	0.214223015
171	0.952739726	0.213265388
172	0.9530136986	0.2125916496
173	0.9534246575	0.2117244926
174	0.9534246575	0.2110006713
175	0.954109589	0.2105631425
176	0.9546575342	0.209655484
177	0.9547945205	0.2087703808
178	0.9556164384	0.2077651655
179	0.9556164384	0.2073257689
180	0.9557534247	0.2068285976
181	0.9560273973	0.2062628568
182	0.9553424658	0.2057075349
183	0.955890411	0.2047981712
184	0.9557534247	0.204167931
185	0.9564383562	0.2035292985
186	0.9564383562	0.2029818427
187	0.9560273973	0.2023829624
188	0.9557534247	0.2017338917
189	0.9563013699	0.2013287815
190	0.9571232877	0.2010698232
191	0.9579452055	0.2002231208
192	0.9573972603	0.1993130756
193	0.9580821918	0.1987871361
194	0.9580821918	0.1981089147
195	0.9584931507	0.1969116897
196	0.9587671233	0.1961614402
197	0.9593150685	0.1954751731
198	0.9593150685	0.1950548986
199	0.9598630137	0.1945689257
200	0.96	0.1939247173
201	0.9601369863	0.1931412455
202	0.9601369863	0.1926599418
203	0.9604109589	0.1921157264
204	0.9602739726	0.1915415944
205	0.9604109589	0.1907967957
206	0.9605479452	0.1903683377
207	0.9606849315	0.1897880645
208	0.9610958904	0.189266329
209	0.961369863	0.1883302471
210	0.9623287671	0.1876189181
211	0.9628767123	0.1867489435
212	0.9624657534	0.1858972282
213	0.9626027397	0.1852744319
214	0.9635616438	0.1844781122
215	0.9628767123	0.1837911184
216	0.9631506849	0.1831511285
217	0.9639726027	0.1823344367
218	0.964109589	0.1812650446
219	0.9645205479	0.1805450328
220	0.9642465753	0.1802837689
221	0.9649315068	0.1795698655
222	0.9647945205	0.1789562277
223	0.9650684932	0.1783901147
224	0.9646575342	0.1776168769
225	0.9652054795	0.1771684724
226	0.9652054795	0.1763845109
227	0.9654794521	0.1758877229
228	0.965890411	0.175346214
229	0.9667123288	0.17472005
230	0.9667123288	0.174278642
231	0.9669863014	0.1737334204
232	0.9669863014	0.173005287
233	0.9671232877	0.1725207394
234	0.967260274	0.1719429027
235	0.9676712329	0.1714313528
236	0.9679452055	0.1709884325
237	0.9678082192	0.170681379
238	0.9678082192	0.1700765753
239	0.9682191781	0.1695498691
240	0.9682191781	0.1691093623
241	0.9682191781	0.1686731927
242	0.9680821918	0.1682058605
243	0.9680821918	0.1677950259
244	0.9683561644	0.167486073
245	0.9683561644	0.1673233737
246	0.9683561644	0.1668218676
247	0.9682191781	0.1665022072
248	0.9690410959	0.1661032908
249	0.9690410959	0.1653485538
250	0.9695890411	0.1651042005
251	0.9697260274	0.1645100039
252	0.9706849315	0.1639793512
